site,monitor,date,start_hour,value,variable,units,quality,prelim,name,latitude,longitude,obs_type,monitoring_id,flag 
2143,-,2017-10-03,19,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-03,20,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-03,21,4.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-03,22,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-03,23,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-04,0,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-04,1,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-04,2,2.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-04,3,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-04,4,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-04,5,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-04,6,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-04,7,15.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-04,8,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-04,9,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-04,10,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-04,11,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-04,12,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-04,13,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-04,14,1.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-04,16,-1.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-04,17,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-04,18,0.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-04,19,4.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-04,20,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-04,21,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-04,22,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-04,23,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-05,0,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-05,1,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-05,2,1.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-05,3,0.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-05,4,2.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-05,5,4.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-05,6,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-05,7,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-05,8,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-05,9,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-05,10,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-05,11,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-05,12,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
