site,monitor,date,start_hour,value,variable,units,quality,prelim,name,latitude,longitude,obs_type,monitoring_id,flag 
2125,-,10/6/2017,0,2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/6/2017,1,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/6/2017,2,2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/6/2017,3,1,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/6/2017,4,-3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/6/2017,6,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/6/2017,7,2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/6/2017,8,25,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/6/2017,9,13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/10/2017,13,53,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),1,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/10/2017,14,36,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),1,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/10/2017,15,25,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/10/2017,16,20,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
